iter	MultiClass
0	1.097313134
1	1.096514804
2	1.096166884
3	1.095823737
4	1.095749407
5	1.094959525
6	1.093656289
7	1.093359209
8	1.092905378
9	1.09239692
10	1.092150198
11	1.09150677
12	1.091316976
13	1.090052088
14	1.089756589
15	1.089704507
16	1.089146723
17	1.087754679
18	1.087183732
19	1.086936088
20	1.086455149
21	1.085944104
22	1.08541944
23	1.085275297
24	1.084863121
25	1.084606392
26	1.083508142
27	1.082110434
28	1.081875725
29	1.081022876
30	1.080888047
31	1.080576921
32	1.079941734
33	1.078776661
34	1.07786185
35	1.077197867
36	1.077011094
37	1.076065458
38	1.07575205
39	1.075747157
40	1.075653468
41	1.075437146
42	1.074307297
43	1.073879814
44	1.073039879
45	1.072605313
46	1.071217279
47	1.071065274
48	1.070649395
49	1.07026516
50	1.069849679
51	1.06932428
52	1.068749396
53	1.068744985
54	1.068744982
55	1.068196881
56	1.067603273
57	1.067373653
58	1.067148686
59	1.066359881
60	1.065857233
61	1.065449642
62	1.064566349
63	1.064228143
64	1.063741625
65	1.063741616
66	1.062497453
67	1.062059259
68	1.06147996
69	1.061250582
70	1.060635961
71	1.059569511
72	1.058883328
73	1.058406676
74	1.0573295
75	1.056238696
76	1.056122623
77	1.055703983
78	1.055398808
79	1.054584252
80	1.054021473
81	1.053171756
82	1.052660678
83	1.051931024
84	1.051036908
85	1.050742589
86	1.050438977
87	1.049930893
88	1.049151269
89	1.048370008
90	1.047587208
91	1.047373759
92	1.047159845
93	1.046055616
94	1.045073663
95	1.044294033
96	1.043575869
97	1.042552001
98	1.04230261
99	1.041565323
100	1.040477933
101	1.039635787
102	1.039209785
103	1.03868598
104	1.038040021
105	1.037515902
106	1.036894776
107	1.035837685
108	1.035252079
109	1.034534646
110	1.033740188
111	1.033355985
112	1.032293221
113	1.031168003
114	1.030367199
115	1.029509162
116	1.028654592
117	1.027696671
118	1.026689261
119	1.025700891
120	1.024842968
121	1.02435388
122	1.023429968
123	1.022377499
124	1.021665242
125	1.02094352
126	1.019712821
127	1.019241423
128	1.017869016
129	1.016745159
130	1.015835258
131	1.015186752
132	1.014237394
133	1.01347131
134	1.0127816
135	1.011790198
136	1.011274159
137	1.010414314
138	1.009276332
139	1.008372783
140	1.007431953
141	1.006687565
142	1.005876183
143	1.005263297
144	1.004293693
145	1.003318353
146	1.002675777
147	1.002010557
148	1.001218205
149	1.000604675
150	0.9994361308
151	0.9985856237
152	0.998012927
153	0.9974235114
154	0.9968061875
155	0.996057838
156	0.9950355403
157	0.9941728085
158	0.9935914548
159	0.9925827134
160	0.9917575357
161	0.9909356493
162	0.9896094374
163	0.9889904443
164	0.9880950225
165	0.9871327626
166	0.9864276454
167	0.9861918842
168	0.9852883749
169	0.9846637244
170	0.984272936
171	0.9835916866
172	0.9829605813
173	0.9821627063
174	0.9817026996
175	0.9811058558
176	0.9804768532
177	0.9800614902
178	0.9790569469
179	0.9784960839
180	0.9774652699
181	0.9765195765
182	0.9754050341
183	0.9747718279
184	0.9735216879
185	0.972879729
186	0.971836516
187	0.9709081023
188	0.9699035129
189	0.9691044921
190	0.9687659499
191	0.9679575772
192	0.967319515
193	0.9664949515
194	0.9657433193
195	0.9645800829
196	0.963701252
197	0.9627805612
198	0.9615567186
199	0.9606392403
200	0.9598423428
201	0.959081934
202	0.9584114681
203	0.9578902016
204	0.9569203632
205	0.9559040248
206	0.955365369
207	0.9546152807
208	0.9537032564
209	0.9534154927
210	0.9527491959
211	0.9524602644
212	0.951489851
213	0.9504331207
214	0.9498253346
215	0.9491095523
216	0.9487052261
217	0.9479413135
218	0.9473519039
219	0.9467306679
220	0.945902044
221	0.9450663672
222	0.9439551836
223	0.9432948028
224	0.9425932195
225	0.9419068843
226	0.9411833442
227	0.9403195613
228	0.9393374081
229	0.9385517766
230	0.9381375465
231	0.9375374002
232	0.9367538818
233	0.9356489776
234	0.9349808678
235	0.9345552855
236	0.9336907401
237	0.9328567955
238	0.9320967503
239	0.9314654187
240	0.9310157879
241	0.9305149522
242	0.9294767595
243	0.9287601113
244	0.9280196041
245	0.9274055419
246	0.9264124238
247	0.9260486734
248	0.9252083094
249	0.924470195
250	0.9240171155
251	0.9230525188
252	0.9223487984
253	0.9215326058
254	0.9211660353
255	0.9201239818
256	0.9192881975
257	0.9186885412
258	0.9181306074
259	0.9174436946
260	0.91728339
261	0.9163778737
262	0.9154964804
263	0.9150726032
264	0.9142181719
265	0.913655625
266	0.9129312917
267	0.9123081245
268	0.9117713899
269	0.9109675209
270	0.9100867796
271	0.909252323
272	0.9085876736
273	0.9078980354
274	0.9070820573
275	0.9063155822
276	0.9057504037
277	0.9051147829
278	0.9041650261
279	0.9033944314
280	0.902680599
281	0.9020937586
282	0.9015051742
283	0.9009290681
284	0.9005342292
285	0.9001247539
286	0.8994711297
287	0.8990293901
288	0.8982854604
289	0.8979666429
290	0.897174337
291	0.8964527059
292	0.8954441834
293	0.8948586486
294	0.8941563794
295	0.8932489514
296	0.8926586983
297	0.8921026103
298	0.8912980122
299	0.8904453804
300	0.8899507923
301	0.8893624504
302	0.8888636016
303	0.8884662512
304	0.8878745594
305	0.8873677708
306	0.8865123384
307	0.8856119017
308	0.8849506789
309	0.8844553277
310	0.8837656376
311	0.8831909892
312	0.8827719126
313	0.882240695
314	0.8818805994
315	0.8814059255
316	0.8804241861
317	0.8795950844
318	0.8789306328
319	0.8780044591
320	0.8772179609
321	0.8767283957
322	0.8764561269
323	0.8757555368
324	0.8753725518
325	0.8750548052
326	0.8743923436
327	0.8734389461
328	0.8722969131
329	0.8715510587
330	0.8709105763
331	0.8702273333
332	0.8696328189
333	0.86896666
334	0.8681964871
335	0.8669348187
336	0.8663374562
337	0.8658936547
338	0.8649651673
339	0.8641757302
340	0.8634855699
341	0.8629820396
342	0.8624365481
343	0.8614515938
344	0.8608429153
345	0.8601374192
346	0.8594845235
347	0.8587487386
348	0.8581376039
349	0.8575612547
350	0.8568066831
351	0.8562744619
352	0.856039101
353	0.8555035424
354	0.855012019
355	0.8544331543
356	0.8535773907
357	0.8527010757
358	0.852267377
359	0.851752197
360	0.8512013352
361	0.8503721224
362	0.8497864817
363	0.8489656875
364	0.8484298358
365	0.847739725
366	0.8470388577
367	0.8465234519
368	0.8460140514
369	0.8454847799
370	0.8451556019
371	0.8444008496
372	0.8434920838
373	0.8426738394
374	0.8419418519
375	0.8414714273
376	0.841053798
377	0.8403053293
378	0.8394283148
379	0.8388426726
380	0.8383183599
381	0.8376830225
382	0.8370741783
383	0.836632107
384	0.8358841894
385	0.8353386154
386	0.8346036581
387	0.8338940746
388	0.8333767499
389	0.8327774695
390	0.8321362677
391	0.8312457586
392	0.8306432958
393	0.8302210278
394	0.8299251635
395	0.8294372005
396	0.8289253193
397	0.8282774067
398	0.827859312
399	0.8272951802
400	0.8270023385
401	0.8263071856
402	0.8257268494
403	0.825220991
404	0.824432633
405	0.8238869649
406	0.8230177683
407	0.8226305554
