iter	Passed	Remaining
0	66	66532
1	117	58471
2	171	56831
3	225	56052
4	250	49884
5	300	49791
6	354	50351
7	401	49806
8	457	50388
9	514	50914
10	576	51835
11	628	51750
12	676	51383
13	726	51167
14	775	50945
15	808	49720
16	858	49647
17	913	49809
18	975	50373
19	1074	52672
20	1164	54307
21	1256	55841
22	1339	56911
23	1434	58355
24	1529	59660
25	1603	60055
26	1669	60147
27	1725	59888
28	1783	59720
29	1845	59685
30	1919	60008
31	2023	61217
32	2133	62525
33	2223	63176
34	2302	63483
35	2399	64253
36	2481	64589
37	2562	64878
38	2664	65668
39	2706	64950
40	2788	65225
41	2910	66393
42	2992	66589
43	3064	66585
44	3145	66763
45	3219	66778
46	3306	67043
47	3378	67001
48	3457	67103
49	3529	67054
50	3601	67010
51	3672	66956
52	3753	67068
53	3782	66257
54	3795	65206
55	3862	65115
56	3929	65016
57	3992	64839
58	4050	64609
59	4113	64438
60	4177	64302
61	4249	64285
62	4321	64273
63	4382	64097
64	4451	64029
65	4465	63199
66	4527	63047
67	4587	62877
68	4645	62677
69	4699	62431
70	4768	62387
71	4834	62308
72	4893	62145
73	4959	62056
74	5019	61904
75	5075	61711
76	5128	61479
77	5185	61298
78	5246	61163
79	5305	61012
80	5355	60766
81	5412	60589
82	5464	60367
83	5521	60206
84	5575	60023
85	5634	59885
86	5689	59703
87	5743	59527
88	5796	59331
89	5852	59178
90	5909	59033
91	5977	58996
92	6032	58829
93	6093	58734
94	6154	58628
95	6213	58507
96	6276	58433
97	6346	58411
98	6408	58328
99	6474	58274
100	6557	58368
101	6651	58559
102	6749	58777
103	6850	59022
104	6951	59249
105	7007	59102
106	7062	58942
107	7121	58820
108	7176	58665
109	7238	58562
110	7304	58501
111	7363	58378
112	7422	58263
113	7480	58136
114	7540	58028
115	7612	58012
116	7685	58000
117	7768	58062
118	7841	58055
119	7922	58097
120	8005	58154
121	8092	58236
122	8150	58116
123	8211	58008
124	8276	57935
125	8334	57809
126	8392	57691
127	8449	57564
128	8518	57513
129	8693	58177
130	8819	58503
131	8878	58384
132	8937	58261
133	8992	58116
134	9046	57967
135	9098	57804
136	9151	57647
137	9203	57488
138	9253	57320
139	9305	57165
140	9363	57043
141	9415	56888
142	9464	56721
143	9516	56570
144	9571	56437
145	9624	56297
146	9689	56222
147	9746	56105
148	9798	55960
149	9853	55833
150	9905	55692
151	9955	55538
152	10005	55389
153	10053	55230
154	10102	55072
155	10152	54926
156	10201	54774
157	10252	54638
158	10300	54484
159	10354	54360
160	10408	54238
161	10460	54110
162	10507	53957
163	10562	53841
164	10619	53739
165	10678	53649
166	10730	53523
167	10782	53399
168	10836	53284
169	10886	53152
170	10940	53037
171	10990	52907
172	11038	52766
173	11089	52644
174	11140	52517
175	11190	52390
176	11238	52257
177	11289	52132
178	11344	52033
179	11398	51926
180	11451	51816
181	11502	51698
182	11551	51569
183	11604	51462
184	11665	51390
185	11724	51310
186	11778	51208
187	11826	51081
188	11879	50973
189	11929	50857
190	11981	50747
191	12032	50637
192	12087	50540
193	12138	50432
194	12188	50315
195	12244	50229
196	12293	50108
197	12344	50000
198	12392	49880
199	12449	49797
200	12499	49685
201	12550	49582
202	12606	49493
203	12666	49422
204	12722	49337
205	12776	49244
206	12826	49137
207	12878	49039
208	12927	48925
209	12982	48837
210	13041	48765
211	13094	48671
212	13145	48569
213	13194	48460
214	13246	48365
215	13298	48268
216	13351	48176
217	13402	48078
218	13453	47978
219	13502	47873
220	13557	47789
221	13614	47710
222	13672	47639
223	13726	47553
224	13778	47458
225	13827	47355
226	13886	47289
227	13936	47187
228	13990	47103
229	14041	47007
230	14095	46924
231	14144	46823
232	14197	46737
233	14242	46622
234	14295	46537
235	14344	46436
236	14401	46362
237	14455	46281
238	14506	46189
239	14557	46099
240	14611	46016
241	14670	45950
242	14723	45866
243	14777	45786
244	14830	45701
245	14879	45605
246	14926	45504
247	14977	45416
248	15029	45329
249	15080	45242
250	15134	45162
251	15186	45076
252	15236	44988
253	15285	44894
254	15335	44804
255	15384	44711
256	15436	44627
257	15486	44539
258	15537	44453
259	15593	44382
260	15652	44317
261	15709	44249
262	15764	44176
263	15813	44085
264	15862	43996
265	15908	43898
266	15960	43815
267	16010	43730
268	16060	43643
269	16113	43565
270	16160	43471
271	16211	43389
272	16259	43298
273	16311	43220
274	16358	43128
275	16408	43043
276	16456	42953
277	16509	42878
278	16556	42786
279	16614	42723
280	16669	42652
281	16722	42577
282	16773	42495
283	16824	42417
284	16876	42339
285	16927	42258
286	16973	42167
287	17029	42101
288	17080	42020
289	17131	41943
290	17180	41859
291	17240	41802
292	17292	41727
293	17341	41643
294	17392	41564
295	17443	41486
296	17500	41422
297	17546	41333
298	17600	41263
299	17653	41190
300	17708	41123
301	17760	41048
302	17816	40984
303	17865	40902
304	17919	40832
305	17969	40755
306	18026	40691
307	18077	40615
308	18136	40558
309	18185	40478
310	18238	40405
311	18299	40353
312	18351	40280
313	18404	40208
314	18453	40127
315	18505	40056
316	18564	39998
317	18622	39938
318	18678	39875
319	18730	39801
320	18782	39729
321	18834	39657
322	18894	39601
323	18949	39536
324	19016	39496
325	19089	39467
326	19159	39431
327	19223	39385
328	19297	39357
329	19357	39301
330	19425	39262
331	19489	39213
332	19555	39170
333	19619	39120
334	19689	39084
335	19763	39056
336	19828	39010
337	19893	38963
338	19959	38917
339	20023	38869
340	20097	38839
341	20176	38819
342	20248	38785
343	20314	38740
344	20370	38675
345	20421	38600
346	20475	38532
347	20532	38468
348	20595	38417
349	20652	38354
350	20714	38300
351	20772	38240
352	20838	38194
353	20906	38151
354	20968	38096
355	21030	38043
356	21091	37987
357	21153	37934
358	21214	37877
359	21260	37796
360	21311	37722
361	21359	37644
362	21412	37575
363	21469	37513
364	21546	37484
365	21620	37451
366	21703	37433
367	21762	37374
368	21811	37297
369	21858	37219
370	21909	37146
371	21956	37066
372	22009	36997
373	22056	36918
374	22109	36849
375	22156	36770
376	22208	36699
377	22254	36620
378	22307	36551
379	22355	36474
380	22410	36409
381	22465	36345
382	22526	36289
383	22591	36240
384	22658	36195
385	22716	36134
386	22770	36067
387	22830	36011
388	22891	35955
389	22944	35888
390	22998	35820
391	23052	35754
392	23113	35699
393	23173	35641
394	23238	35593
395	23294	35530
396	23350	35466
397	23415	35417
398	23611	35565
399	23698	35547
400	23747	35473
401	23798	35402
402	23847	35328
403	23899	35258
404	23949	35184
405	24000	35114
406	24055	35049
407	24109	34982
408	24156	34905
409	24208	34836
410	24258	34764
411	24309	34693
412	24361	34624
413	24413	34556
414	24462	34482
415	24514	34414
416	24563	34341
417	24622	34283
418	24672	34212
419	24724	34143
420	24771	34067
421	24823	33999
422	24871	33926
423	24922	33857
424	24971	33784
425	25021	33714
426	25080	33656
427	25132	33587
428	25181	33516
429	25232	33447
430	25289	33386
431	25338	33316
432	25390	33248
433	25440	33177
434	25489	33107
435	25542	33041
436	25596	32977
437	25649	32911
438	25713	32859
439	25759	32784
440	25823	32733
441	25872	32662
442	25923	32594
443	25975	32527
444	26027	32460
445	26074	32387
446	26124	32319
447	26170	32246
448	26224	32181
449	26270	32108
450	26324	32044
451	26372	31973
452	26422	31905
453	26468	31832
454	26520	31765
455	26569	31696
456	26622	31631
457	26677	31569
458	26728	31503
459	26776	31433
460	26827	31366
461	26874	31295
462	26924	31227
463	26971	31157
464	27023	31091
465	27072	31022
466	27126	30959
467	27176	30893
468	27226	30825
469	27274	30756
470	27328	30693
471	27374	30622
472	27424	30555
473	27474	30488
474	27525	30423
475	27577	30358
476	27632	30297
477	27686	30235
478	27744	30177
479	27800	30116
480	27852	30052
481	27901	29985
482	27953	29921
483	28007	29859
484	28057	29793
485	28105	29725
486	28157	29661
487	28206	29594
488	28259	29530
489	28307	29462
490	28360	29400
491	28409	29333
492	28461	29270
493	28510	29203
494	28563	29140
495	28614	29075
496	28663	29009
497	28709	28940
498	28760	28875
499	28806	28806
500	28859	28744
501	28906	28676
502	28958	28612
503	29010	28550
504	29060	28484
505	29107	28417
506	29159	28354
507	29206	28286
508	29258	28223
509	29304	28155
510	29356	28092
511	29405	28027
512	29468	27975
513	29553	27943
514	29610	27885
515	29663	27824
516	29714	27760
517	29771	27702
518	29818	27635
519	29867	27570
520	29915	27503
521	29971	27444
522	30021	27381
523	30073	27318
524	30122	27253
525	30176	27193
526	30227	27130
527	30276	27064
528	30326	27001
529	30373	26935
530	30425	26872
531	30475	26808
532	30525	26745
533	30574	26681
534	30624	26617
535	30670	26550
536	30719	26485
537	30767	26421
538	30820	26360
539	30870	26297
540	30922	26235
541	30970	26170
542	31020	26107
543	31068	26042
544	31119	25980
545	31167	25916
546	31220	25855
547	31270	25792
548	31316	25726
549	31366	25663
550	31415	25600
551	31468	25539
552	31515	25474
553	31569	25415
554	31615	25349
555	31665	25286
556	31715	25224
557	31770	25165
558	31822	25104
559	31880	25049
560	31940	24994
561	32008	24946
562	32074	24895
563	32131	24839
564	32192	24785
565	32240	24721
566	32294	24662
567	32347	24602
568	32400	24542
569	32459	24486
570	32520	24433
571	32579	24377
572	32635	24319
573	32691	24262
574	32738	24198
575	32789	24136
576	32837	24073
577	32891	24013
578	32938	23950
579	33000	23896
580	33057	23840
581	33122	23789
582	33189	23739
583	33249	23684
584	33306	23627
585	33362	23569
586	33416	23511
587	33470	23452
588	33537	23402
589	33589	23342
590	33642	23282
591	33690	23219
592	33742	23158
593	33789	23095
594	33839	23033
595	33889	22971
596	33941	22912
597	34003	22858
598	34057	22799
599	34133	22755
600	34197	22703
601	34256	22647
602	34308	22587
603	34372	22535
604	34423	22474
605	34475	22414
606	34524	22352
607	34578	22294
608	34626	22231
609	34678	22171
610	34732	22112
611	34782	22051
612	34826	21987
613	34887	21932
614	34940	21873
615	35001	21819
616	35102	21789
617	35163	21735
618	35257	21701
619	35320	21647
620	35415	21614
621	35482	21563
622	35555	21515
623	35638	21474
624	35692	21415
625	35743	21354
626	35793	21293
627	35843	21232
628	35894	21171
629	35942	21109
630	35997	21050
631	36044	20988
632	36091	20925
633	36140	20863
634	36187	20800
635	36238	20740
636	36288	20679
637	36337	20618
638	36386	20556
639	36437	20496
640	36486	20434
641	36540	20376
642	36592	20316
643	36641	20255
644	36695	20196
645	36744	20135
646	36794	20074
647	36848	20016
648	36895	19954
649	36949	19895
650	36996	19833
651	37044	19772
652	37095	19712
653	37140	19649
654	37192	19590
655	37240	19528
656	37291	19468
657	37339	19407
658	37405	19355
659	37452	19293
660	37503	19234
661	37558	19176
662	37610	19117
663	37660	19056
664	37706	18994
665	37754	18934
666	37800	18872
667	37849	18811
668	37900	18751
669	37955	18694
670	38006	18634
671	38054	18574
672	38105	18514
673	38151	18453
674	38201	18393
675	38254	18334
676	38303	18275
677	38350	18213
678	38403	18155
679	38451	18095
680	38503	18035
681	38555	17977
682	38607	17919
683	38653	17857
684	38702	17797
685	38751	17737
686	38801	17677
687	38852	17618
688	38899	17558
689	38952	17500
690	39000	17440
691	39049	17380
692	39100	17321
693	39149	17261
694	39199	17202
695	39249	17143
696	39296	17082
697	39348	17024
698	39394	16963
699	39444	16904
700	39492	16844
701	39545	16786
702	39598	16729
703	39650	16671
704	39697	16611
705	39748	16552
706	39794	16491
707	39842	16432
708	39891	16373
709	39948	16316
710	40000	16259
711	40051	16200
712	40099	16140
713	40151	16082
714	40209	16027
715	40260	15969
716	40310	15910
717	40359	15851
718	40410	15793
719	40457	15733
720	40509	15675
721	40563	15618
722	40612	15559
723	40659	15500
724	40713	15443
725	40765	15385
726	40815	15327
727	40863	15267
728	40909	15207
729	40962	15150
730	41009	15091
731	41065	15035
732	41114	14976
733	41163	14917
734	41210	14858
735	41261	14800
736	41309	14741
737	41358	14682
738	41407	14624
739	41457	14566
740	41504	14507
741	41559	14450
742	41608	14392
743	41659	14334
744	41710	14276
745	41761	14219
746	41810	14160
747	41855	14101
748	41905	14042
749	41954	13984
750	42001	13925
751	42053	13868
752	42100	13809
753	42148	13751
754	42195	13692
755	42248	13635
756	42296	13577
757	42347	13519
758	42394	13461
759	42446	13404
760	42492	13345
761	42548	13289
762	42594	13230
763	42644	13172
764	42690	13114
765	42739	13056
766	42784	12997
767	42838	12940
768	42888	12883
769	42937	12825
770	42990	12768
771	43041	12711
772	43095	12655
773	43143	12597
774	43190	12539
775	43243	12482
776	43295	12425
777	43344	12368
778	43394	12310
779	43439	12252
780	43486	12194
781	43538	12137
782	43593	12081
783	43646	12025
784	43699	11968
785	43746	11910
786	43796	11853
787	43842	11795
788	43892	11738
789	43939	11680
790	43992	11623
791	44045	11567
792	44093	11509
793	44145	11453
794	44195	11396
795	44243	11338
796	44294	11282
797	44340	11224
798	44391	11167
799	44437	11109
800	44490	11053
801	44542	10996
802	44596	10940
803	44644	10883
804	44692	10826
805	44739	10768
806	44790	10711
807	44838	10654
808	44889	10598
809	44936	10540
810	44990	10484
811	45040	10428
812	45088	10370
813	45139	10314
814	45186	10257
815	45236	10200
816	45285	10143
817	45333	10086
818	45385	10030
819	45434	9973
820	45489	9917
821	45543	9862
822	45593	9805
823	45640	9748
824	45693	9692
825	45740	9635
826	45789	9578
827	45836	9521
828	45888	9465
829	45935	9408
830	45985	9352
831	46033	9295
832	46084	9239
833	46131	9181
834	46179	9125
835	46226	9068
836	46276	9012
837	46326	8955
838	46378	8899
839	46424	8842
840	46473	8786
841	46523	8730
842	46581	8675
843	46627	8618
844	46677	8562
845	46723	8505
846	46772	8448
847	46821	8392
848	46870	8336
